date,decision,rate_change,chair,lm_sentiment,lm_score,lm_cb_score,llm_hawkish,llm_forward_guidance,llm_information
2006-01-31,rate_hike,0.25,Greenspan,0.0112612612612612,0.0367867867867867,-0.0142642642642642,,,
2006-03-28,rate_hike,0.25,Bernanke,0.0111510791366906,0.0381294964028776,-0.0158273381294964,,,
2006-05-10,rate_hike,0.25,Bernanke,0.011969904240766,0.0362517099863201,-0.0123119015047879,,,
2006-06-29,rate_hike,0.25,Bernanke,0.0125089349535382,0.035025017869907,-0.0100071479628305,,,
2007-09-18,rate_cut,-0.5,Bernanke,0.010226442658875,0.0387143900657414,-0.0182615047479912,,,
2007-10-31,rate_cut,-0.25,Bernanke,0.0113154172560113,0.0353606789250353,-0.0127298444130127,,,
2007-12-11,rate_cut,-0.25,Bernanke,0.0089798850574712,0.0352011494252873,-0.0172413793103448,,,
2008-01-30,rate_cut,-0.5,Bernanke,0.0077149155033063,0.032329169728141,-0.0168993387215282,,,
2008-03-18,rate_cut,-0.75,Bernanke,0.0103571428571428,0.035,-0.0142857142857142,,,
2008-04-30,rate_cut,-0.25,Bernanke,0.0095338983050847,0.0374293785310734,-0.0183615819209039,,,
2008-10-29,rate_cut,-0.5,Bernanke,0.0078740157480314,0.0365068002863278,-0.0207587687902648,,,
2008-12-16,rate_cut,-0.75,Bernanke,0.0082417582417582,0.0361067503924646,-0.0196232339089481,,,
2009-01-28,unchanged,0.0,Bernanke,0.0110340479192938,0.0390920554854981,-0.0170239596469104,,,
2009-03-18,unchanged,0.0,Bernanke,0.0101373446697187,0.0392413342053629,-0.0189666448659254,,,
2009-04-29,unchanged,0.0,Bernanke,0.0104370515329419,0.0424005218525766,-0.0215264187866927,,,
2009-06-24,unchanged,0.0,Bernanke,0.0100806451612903,0.0416666666666666,-0.021505376344086,,,
2009-08-12,unchanged,0.0,Bernanke,0.0114453891432308,0.0438194898626553,-0.0209287115761935,,,
2009-09-23,unchanged,0.0,Bernanke,0.0137165251469627,0.0476812540822991,-0.0202482037883736,,,
2009-11-04,unchanged,0.0,Bernanke,0.0146590184831102,0.0465264499681325,-0.017208413001912,,,
2009-12-16,unchanged,0.0,Bernanke,0.013456937799043,0.0466507177033492,-0.0197368421052631,,,
