Date,MIN
2005-01-04,0.04812125799846035
2005-02-23,-0.017767588930151512
2005-04-12,-0.027617195462892995
2005-05-24,0.001405926053367044
2005-07-21,0.007106896327207579
2005-08-30,-0.015057412094863715
2005-10-11,-0.010643442908474876
2005-11-22,-0.057150731385340395
2006-01-03,-0.015505615585040163
2006-02-21,0.005074481467576183
2006-04-18,-0.023409146914782207
2006-05-31,0.03343194015848246
2006-07-20,-0.021414988551773616
2006-08-29,-0.029426470789377185
2006-10-11,0.052212350971642646
2006-11-15,0.009493784529999836
2007-01-03,-0.01019523941829843
2007-02-21,-0.012925593866718942
2007-04-11,0.027212950856602646
2007-05-30,0.004693822769445467
2007-07-19,-0.00294583221701088
2007-08-28,-0.006406517383075716
2007-10-09,0.013517505931219878
2007-11-20,-0.02607637192776162
2008-01-02,0.005940061860774447
2008-02-20,0.03591887363699239
2008-04-08,-0.03428864346594749
2008-05-21,-0.031520750243094475
2008-07-16,0.033992551349986196
2008-08-26,0.006474940807506648
2008-10-07,0.03806870255608842
2008-11-19,-0.03127478347882635
2009-01-06,0.00236454394973085
2009-02-18,-0.010923497207849487
2009-04-08,-0.008433252044742287
2009-05-20,-0.013087554473168256
2009-07-15,-0.013957765263020092
2009-09-02,-0.005896102976888355
2009-10-14,0.0031099577219155378
2009-11-24,0.004183408363258106
2010-01-06,-0.046227434893808886
2010-02-17,-0.00624821257605344
2010-04-06,-0.002497628726834434
2010-05-19,-0.002107380941665639
2010-07-14,-0.005212900120714582
2010-08-31,8.428898182118363e-4
2010-10-12,0.004183408363258106
2010-11-23,0.0019163404595544042
2011-01-04,0.0118756851786823
2011-02-16,3.9468632803538997e-4
2011-04-05,-6.787643133071782e-4
2011-05-18,0.0035214517776568336
2011-07-12,0.011969069003772863
2011-08-30,0.006578234855597706
2011-10-12,-0.00792817151459473
2011-11-22,8.461003174850583e-5
2012-01-03,0.006268098729932328
2012-02-15,0.0010378940520725088
2012-04-03,0.0045736561484219125
2012-05-16,-0.00821579270957487
2012-07-11,1.0113184544902897e-4
2012-08-22,-0.012101598916260253
2012-10-04,8.428898182118363e-4
2012-11-14,0.004631611853434552
2013-01-03,0.004063241742239541
2013-02-20,0.0019163404595544042
2013-04-10,0.0019163404595544042
2013-05-22,0.0019163404595544042
2013-07-10,-0.006734554252233596
2013-08-21,0.010096696238567975
2013-10-09,-0.00294583221701088
2013-11-20,-0.005212900120714582
2014-01-08,-3.815540312989361e-4
2014-02-19,0.0029897911008969725
